compound,fusH,algorithm
32,50.64382553,MLP
33,54.87625122,MLP
34,59.59924316,MLP
35,64.30446625,MLP
36,22.81137085,MLP
37,27.2881546,MLP
38,30.23352814,MLP
39,36.8426857,MLP
40,42.81832886,MLP
41,47.40115356,MLP
42,51.74295425,MLP
43,54.1558876,MLP
44,56.51964951,MLP
45,60.77772903,MLP
46,64.91632843,MLP
47,69.00494385,MLP
48,17.78329468,MLP
49,24.26667976,MLP
50,31.81352997,MLP
51,36.17684174,MLP
52,40.59625626,MLP
53,44.02636719,MLP
54,47.03874588,MLP
55,50.36748123,MLP
56,20.65428162,MLP
57,24.20981789,MLP
58,26.66308022,MLP
59,29.8594532,MLP
60,32.81380081,MLP
61,14.88535118,MLP
62,16.4628849,MLP
63,20.07139015,MLP
64,20.08963394,MLP
65,20.54072762,MLP
66,21.20397949,MLP
67,21.66529083,MLP
68,24.89119339,MLP
69,29.50154686,MLP
70,29.50645065,MLP
71,18.05415726,MLP
72,19.17306709,MLP
73,17.36642075,MLP
74,23.02215767,MLP
75,26.12944221,MLP
76,26.57306671,MLP
77,28.41950798,MLP
78,31.37694931,MLP
79,21.60385132,MLP
80,25.08912468,MLP
81,15.30050373,MLP
82,18.58955956,MLP
83,18.58955956,MLP
84,23.4503746,MLP
85,23.4503746,MLP
86,23.4503746,MLP
87,23.4503746,MLP
88,28.44948769,MLP
89,28.44948769,MLP
90,28.44948769,MLP
91,28.44948769,MLP
92,28.44948769,MLP
93,28.44948769,MLP
94,28.44948769,MLP
95,28.44948578,MLP
96,15.22922802,MLP
97,17.95996666,MLP
98,22.1667614,MLP
99,22.1667614,MLP
100,27.30323219,MLP
101,27.30323219,MLP
102,27.30323219,MLP
103,27.30323219,MLP
104,37.279953,MLP
105,41.65564728,MLP
106,45.06930161,MLP
107,48.23988724,MLP
108,51.7297287,MLP
109,59.8447876,MLP
110,47.60072708,MLP
