smiles,name
O=C[C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,Altrose
O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,Glucose
O=C[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,Mannose
O=C[C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O,Gulose
O=C[C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O,Idose
O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Galactose
O=C[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Talose
O=C(CO)CO,Dihydroxyacetone
OCC([C@@H](CO)O)=O,Erythrulose
OCC([C@@H]([C@@H](CO)O)O)=O,Ribulose
OCC([C@H]([C@@H](CO)O)O)=O,Xylulose
OCC([C@@H]([C@@H]([C@@H](CO)O)O)O)=O,Psicose
OCC([C@H]([C@@H]([C@@H](CO)O)O)O)=O,Fructose
OCC([C@@H]([C@H]([C@@H](CO)O)O)O)=O,Sorbose
OCC([C@H]([C@H]([C@@H](CO)O)O)O)=O,Tagatose
CCCCCCCCCCCC(O)=O,Lauric acid
CCCCCCCCCCCCCC(O)=O,Myristic acid
CCCCCCCCCCCCCCCC(O)=O,Palmitic acid
CCCCCCCCCCCCCCCCCC(O)=O,Stearic acid
CCCCCCCCCCCCCCCCCCCC(O)=O,Arachidic acid
CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Lignoceric acid
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,Cholesterol
